IC,ICw,DC,DCw,BTB,BHT,RAS,SoC_Total_LUT,SoC_Total_FF,SoC_Total_BRAM,SoC_Total_DSP,S1_Fetch_LUT,S2_Decode_LUT,S3_Issue_Net_LUT,S4_Execute_Net_LUT,S5_Memory_Total_LUT,S6_Commit_LUT,S1_Fetch_FF,S2_Decode_FF,S3_Issue_Net_FF,S4_Execute_Net_FF,S5_Memory_Total_FF,S6_Commit_FF,S1_Fetch_BRAM,S2_Decode_BRAM,S3_Issue_Net_BRAM,S4_Execute_Net_BRAM,S5_Memory_Total_BRAM,S6_Commit_BRAM,S1_Fetch_DSP,S2_Decode_DSP,S3_Issue_Net_DSP,S4_Execute_Net_DSP,S5_Memory_Total_DSP,S6_Commit_DSP
2k,4w,2k,4w,16,16,2,47714,22317,28,27,2362,673,8446,10490,15590,2782,709,370,490,2368,7555,2864,0,0,0,0,12,0,0,0,0,27,0,0
4k,2w,4k,2w,16,16,2,47255,22298,16,27,2361,672,8451,10484,15489,2783,709,370,490,2368,7535,2865,0,0,0,0,6,0,0,0,0,27,0,0
4k,1w,4k,1w,16,16,2,46843,22293,10,27,2375,677,8504,10232,15385,2652,709,370,491,2373,7526,2865,0,0,0,0,3,0,0,0,0,27,0,0
4k,16w,4k,16w,16,16,2,50890,22467,100,27,2365,671,8439,10483,18309,2787,709,370,490,2368,7689,2863,0,0,0,0,48,0,0,0,0,27,0,0
4k,4w,4k,4w,128,16,2,47600,22190,30,27,2275,673,8457,10487,15569,2783,579,370,490,2368,7557,2863,2,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,16384,2,50379,22322,28,27,4667,674,8852,10480,15565,2787,707,370,493,2368,7557,2865,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,128,2,47682,22319,28,27,2363,673,8454,10480,15561,2783,709,370,490,2368,7557,2863,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,1024,2,47808,22319,28,27,2470,673,8464,10486,15573,2779,709,370,490,2368,7557,2863,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,256,2,47719,22321,28,27,2388,673,8456,10488,15567,2782,709,370,491,2368,7557,2864,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,32,2,47691,22319,28,27,2361,671,8450,10493,15574,2783,709,370,490,2368,7557,2863,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,512,2,47729,22319,28,27,2396,672,8463,10484,15577,2782,709,370,490,2368,7557,2863,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,16,2,47683,22319,28,27,2362,673,8448,10484,15572,2782,709,370,490,2368,7557,2863,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,16,64,2,47678,22319,28,27,2364,673,8452,10483,15567,2780,709,370,490,2368,7557,2863,0,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,32,16,2,47581,22190,30,27,2270,672,8450,10483,15564,2782,579,370,490,2368,7557,2863,2,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,32768,16,2,47935,22240,92,27,2275,672,8793,10488,15557,2785,579,370,490,2368,7557,2863,64,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,256,16,2,47597,22190,30,27,2273,671,8454,10484,15568,2783,579,370,490,2368,7557,2863,2,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,64,16,2,47598,22190,30,27,2273,674,8449,10486,15568,2781,579,370,490,2368,7557,2863,2,0,0,0,12,0,0,0,0,27,0,0
4k,4w,4k,4w,8,16,2,47690,22319,28,27,2361,673,8450,10494,15562,2784,709,370,490,2368,7557,2863,0,0,0,0,12,0,0,0,0,27,0,0
4k,8w,4k,8w,16,16,2,48535,22370,52,27,2364,674,8445,10493,15973,2791,709,370,491,2368,7600,2865,0,0,0,0,24,0,0,0,0,27,0,0
4k,4w,4k,4w,512,16,2,47594,22190,30,27,2273,673,8454,10489,15558,2781,579,370,490,2368,7557,2863,2,0,0,0,12,0,0,0,0,27,0,0
8k,4w,8k,4w,16,16,2,47687,22322,28,27,2364,671,8447,10487,15580,2781,709,370,490,2368,7559,2863,0,0,0,0,12,0,0,0,0,27,0,0
16k,4w,16k,4w,16,16,2,47730,22327,28,27,2363,673,8451,10486,15626,2781,709,370,490,2368,7561,2865,0,0,0,0,12,0,0,0,0,27,0,0
32k,4w,32k,4w,16,16,2,47736,22328,28,27,2362,672,8452,10484,15594,2781,709,370,490,2368,7563,2863,0,0,0,0,12,0,0,0,0,27,0,0
64k,4w,64k,4w,16,16,2,47772,22331,52,27,2363,672,8449,10482,15606,2785,709,370,490,2368,7565,2863,0,0,0,0,24,0,0,0,0,27,0,0
128k,4w,128k,4w,16,16,2,47952,22334,92,27,2365,672,8449,10488,15603,2785,709,370,490,2368,7567,2863,0,0,0,0,44,0,0,0,0,27,0,0
