Label,Category,IPC,Instructions,Cycles,Time_s,Score,Unit
Arith Overhead,Integer / ALU,0.3883,96160360,247619804,4.95239608,22607716.0,lps
Arith Register,Integer / ALU,0.5685,140705146,247489519,4.94979038,658341.0,lps
Arith Short,Integer / ALU,0.569,140859170,247565240,4.9513048,659170.0,lps
Arith Int,Integer / ALU,0.5687,140769091,247527031,4.95054062,658720.0,lps
Dhrystone,Integer / ALU,0.4476,81389671,181828082,3.63656164,259837.0,lps
Arith Double,Integer / ALU,0.5688,140675372,247333099,4.94666198,658256.0,lps
Whetstone,Float / FPU,0.4108,103499392,251932322,5.03864644,19.449,MWIPS
Sys Mix,System / OS,0.1749,43254593,247366131,4.94732262,22651.0,lps
Sys GetPID,System / OS,0.2259,55509267,245775079,4.91550158,205011.0,lps
Sys Exec,System / OS,0.1191,2620492,21995437,0.43990874,20.0,lps
Pipe_Throughput,System / OS,0.1404,34742090,247521360,4.9504272,8840.0,lps
Context_Switching,System / OS,0.1169,14197502,121473123,2.42946246,856.0,lps
